batch_id, timestamp, scale, adam, transforms, layer, index, threshold, loss, status
0, 1547604557290, 64, 0.05, 4, 22, 3, 21, -0.6036773, "RECURS_21_20"
0, 1547604562335, 64, 0.05, 4, 22, 8, 21, -0.5444332, "RECURS_21_20"
1, 1547642545174, 64, 0.05, 2, 11, 8, 64, 8.805974, ""
1, 1547642545174, 64, 0.05, 2, 11, 8, 256, 9.479214, ""
1, 1547642545174, 64, 0.05, 2, 11, 8, 1024, 8.97936, ""
1, 1547642558909, 64, 0.05, 2, 11, 9, 64, -0.1329137, ""
1, 1547642558909, 64, 0.05, 2, 11, 9, 256, 0.4074699, ""
1, 1547642558909, 64, 0.05, 2, 11, 9, 1024, 0.2259345, ""
1, 1547642572510, 64, 0.05, 2, 11, 10, 64, -1.3774815, ""
1, 1547642572510, 64, 0.05, 2, 11, 10, 256, -0.7674719, ""
1, 1547642572510, 64, 0.05, 2, 11, 10, 1024, -0.4036726, ""
1, 1547642586056, 64, 0.05, 2, 11, 11, 64, -0.7219145, ""
1, 1547642586056, 64, 0.05, 2, 11, 11, 256, -1.3403631, ""
1, 1547642586056, 64, 0.05, 2, 11, 11, 1024, -0.38418472, ""
1, 1547642600091, 64, 0.05, 4, 22, 8, 11, -0.5444332, "RECURS_11_10"
1, 1547642602521, 64, 0.05, 4, 22, 9, 64, 1.2870886, ""
1, 1547642602521, 64, 0.05, 4, 22, 9, 256, 1.9515516, ""
1, 1547642602521, 64, 0.05, 4, 22, 9, 1024, 3.1192064, ""
1, 1547642615916, 64, 0.05, 4, 22, 10, 64, 0.9667299, ""
1, 1547642615916, 64, 0.05, 4, 22, 10, 256, 1.4073529, ""
1, 1547642615916, 64, 0.05, 4, 22, 10, 1024, 1.236907, ""
1, 1547642629583, 64, 0.05, 4, 22, 11, 64, -0.8140887, ""
1, 1547642629583, 64, 0.05, 4, 22, 11, 256, -0.7571875, ""
1, 1547642629583, 64, 0.05, 4, 22, 11, 1024, -0.7229182, ""
1, 1547642643776, 64, 0.05, 4, 23, 8, 64, -4.1931515, ""
1, 1547642643776, 64, 0.05, 4, 23, 8, 256, -3.5365381, ""
1, 1547642643776, 64, 0.05, 4, 23, 8, 1024, -3.0885026, ""
1, 1547642662450, 64, 0.05, 4, 23, 9, 64, -4.433686, ""
1, 1547642662450, 64, 0.05, 4, 23, 9, 256, -3.5102544, ""
1, 1547642662450, 64, 0.05, 4, 23, 9, 1024, -4.1795483, ""
1, 1547642680359, 64, 0.05, 4, 23, 10, 64, -3.9927385, ""
1, 1547642680359, 64, 0.05, 4, 23, 10, 256, -3.6669493, ""
1, 1547642680359, 64, 0.05, 4, 23, 10, 1024, -3.8394134, ""
1, 1547642698001, 64, 0.05, 4, 23, 11, 64, -4.2849526, ""
1, 1547642698001, 64, 0.05, 4, 23, 11, 256, -3.348813, ""
1, 1547642698001, 64, 0.05, 4, 23, 11, 1024, -4.042673, ""
